"","District","Yes","No","Illegible","No Response","Division"
"1","Banks",37736,46343,247,20928,"New South Wales Divisions"
"2","Barton",37153,47984,226,24008,"New South Wales Divisions"
"3","Bennelong",42943,43215,244,19973,"New South Wales Divisions"
"4","Berowra",48471,40369,212,16038,"New South Wales Divisions"
"5","Blaxland",20406,57926,220,25883,"New South Wales Divisions"
"6","Bradfield",53681,34927,202,17261,"New South Wales Divisions"
"7","Calare",54091,35779,285,25342,"New South Wales Divisions"
"8","Chifley",32871,46702,263,28180,"New South Wales Divisions"
"9","Cook",47505,38804,229,18713,"New South Wales Divisions"
"10","Cowper",57493,38317,315,25197,"New South Wales Divisions"
"11","Cunningham",60906,31840,268,20607,"New South Wales Divisions"
"12","Dobell",59475,30987,255,24275,"New South Wales Divisions"
"13","Eden-Monaro",57223,30926,249,22139,"New South Wales Divisions"
"14","Farrer",48432,39297,277,25669,"New South Wales Divisions"
"15","Fowler",27847,48782,228,29251,"New South Wales Divisions"
"16","Gilmore",59322,36386,303,23109,"New South Wales Divisions"
"17","Grayndler",73208,18429,136,16074,"New South Wales Divisions"
"18","Greenway",38016,43980,217,25253,"New South Wales Divisions"
"19","Hughes",51337,36558,185,17038,"New South Wales Divisions"
"20","Hume",51284,36271,213,23457,"New South Wales Divisions"
"21","Hunter",59137,32723,251,25253,"New South Wales Divisions"
"22","Kingsford Smith",56297,31510,225,22399,"New South Wales Divisions"
"23","Lindsay",49071,38295,234,26955,"New South Wales Divisions"
"24","Lyne",51416,41539,316,21426,"New South Wales Divisions"
"25","Macarthur",43323,39907,228,27271,"New South Wales Divisions"
"26","Mackellar",62350,29330,208,17500,"New South Wales Divisions"
"27","Macquarie",56180,31778,235,18490,"New South Wales Divisions"
"28","McMahon",29146,53967,242,23721,"New South Wales Divisions"
"29","Mitchell",42112,43652,176,19436,"New South Wales Divisions"
"30","Newcastle",71158,23999,232,19970,"New South Wales Divisions"
"31","New England",44608,40324,256,25581,"New South Wales Divisions"
"32","North Sydney",64813,25473,193,17538,"New South Wales Divisions"
"33","Page",55943,37727,291,25645,"New South Wales Divisions"
"34","Parkes",41408,37108,241,29777,"New South Wales Divisions"
"35","Parramatta",29299,47038,197,25757,"New South Wales Divisions"
"36","Paterson",60915,32059,279,24264,"New South Wales Divisions"
"37","Reid",43567,39061,203,23786,"New South Wales Divisions"
"38","Richmond",62591,29625,274,22719,"New South Wales Divisions"
"39","Riverina",47333,39308,265,25632,"New South Wales Divisions"
"40","Robertson",58689,30614,231,20431,"New South Wales Divisions"
"41","Shortland",62455,29836,255,19675,"New South Wales Divisions"
"42","Sydney",76144,14860,146,22093,"New South Wales Divisions"
"43","Warringah",64999,21660,172,16630,"New South Wales Divisions"
"44","Watson",24915,57160,205,24634,"New South Wales Divisions"
"45","Wentworth",69279,16410,162,18121,"New South Wales Divisions"
"46","Werriwa",30252,53174,269,29282,"New South Wales Divisions"
"47","Whitlam",57562,34879,276,23064,"New South Wales Divisions"
"48","Aston",48455,29730,234,17664,"Victoria Divisions"
"49","Ballarat",65613,27405,333,20923,"Victoria Divisions"
"50","Batman",66383,26906,287,17901,"Victoria Divisions"
"51","Bendigo",63412,28852,333,19360,"Victoria Divisions"
"52","Bruce",34644,39203,257,21261,"Victoria Divisions"
"53","Calwell",37839,49823,331,23588,"Victoria Divisions"
"54","Casey",59959,28144,316,16807,"Victoria Divisions"
